fecha,nombre_tortuga,marca_nombre,especie_nombre_latino,numero_recaptura,a_c_c,l_c_c,lugar,geografía,sexo_correcto
2016-09-10T00:00:00Z,Isamar,GT 8146,Chelonia mydas,1,64,64,Laguna La Cruz,estuario,Indefinido
2016-09-10T00:00:00Z,RUDAMESAVI,GT 8148,Chelonia mydas,1,63.3,66.8,Laguna La Cruz,estuario,Indefinido
2016-09-10T00:00:00Z,Libertad,GT 8151,Chelonia mydas,2,66.1,70.6,Laguna La Cruz,estuario,Indefinido
2016-09-10T00:00:00Z,Julian Trinidad,GT 8152,Chelonia mydas,1,71.3,71.5,Laguna La Cruz,estuario,Indefinido
2016-10-10T00:00:00Z,Miguel,GT 8155,Chelonia mydas,1,63.4,67.7,Laguna La Cruz,estuario,Indefinido
2016-10-10T00:00:00Z,Maya,GT 8157,Chelonia mydas,1,77.8,83.5,Laguna La Cruz,estuario,Hembra
2016-10-10T00:00:00Z,Erika(2),GT 5154,Chelonia mydas,1,64.7,65.5,Laguna La Cruz,estuario,Indefinido
2016-07-11T00:00:00Z,Lupita Alaska,GT 8158,Chelonia mydas,1,64.5,69.5,Laguna La Cruz,estuario,Indefinido
2016-07-11T00:00:00Z,Marcos Jesus,GT 8162,Chelonia mydas,1,84,92,Laguna La Cruz,estuario,Hembra
2016-07-11T00:00:00Z,Ulises David,GT 8160,Chelonia mydas,1,63,64.5,Laguna La Cruz,estuario,Indefinido
2016-07-11T00:00:00Z,Amira,GT 8164,Chelonia mydas,1,51.1,63.5,Laguna La Cruz,estuario,Indefinido
2016-07-11T00:00:00Z,Jean(2),GT 5208,Chelonia mydas,2,62.2,73,Laguna La Cruz,estuario,Hembra
2016-07-11T00:00:00Z,Orlando Agramon,GT 8166,Chelonia mydas,1,77,84,Laguna La Cruz,estuario,Hembra
2016-07-11T00:00:00Z,Fca. Valdez(1),GT 8168,Chelonia mydas,2,67.5,69.8,Laguna La Cruz,estuario,Indefinido
2016-08-11T00:00:00Z,Ferny,GT 8171,Chelonia mydas,1,63.1,67.5,Laguna La Cruz,estuario,Hembra
2016-08-11T00:00:00Z,Cesar,GT 8173,Chelonia mydas,1,67.3,70,Laguna La Cruz,estuario,Indefinido
2016-08-11T00:00:00Z,Zheniav,Gt 8175,Chelonia mydas,1,76.3,80.5,Laguna La Cruz,estuario,Hembra
2016-08-11T00:00:00Z,Claribel,GT 8178,Chelonia mydas,1,77,86.5,Laguna La Cruz,estuario,Hembra
2016-08-11T00:00:00Z,Manuel,GT 8181,Chelonia mydas,1,63.3,66.5,Laguna La Cruz,estuario,Indefinido
2016-08-11T00:00:00Z,Tina,GT 8183,Chelonia mydas,1,66.6,71.7,Laguna La Cruz,estuario,Indefinido
